gender,state,age,income,imp.challenge,imp.unlocks,imp.customize,imp.difficulty,imp.characters,imp.storyline,imp.mastery,imp.backstory,imp.dominate,imp.completion,imp.wealth,imp.fantasy,imp.items,imp.power,imp.offbeat,imp.collect,enj.excitement,enj.destruction,enj.others,enj.react,enj.duels,enj.strategy,enj.roleplay,enj.competition,enj.decisions,enj.common.goal,enj.planning,enj.immersion,enj.helping,enj.fast,enj.guns,enj.gore,enj.blow.up,freq.explore,freq.experiment,freq.study,freq.char.creation,freq.stats,freq.customize,freq.test.world,gg.game.presented,gg.maxprice,rank.WarriorGuild,rank.SeraphGuardians,rank.Evercrest,rank.DevilsGate,rank.Marksman,rank.QuestoftheTitan
male,KY,31,70000,2,3,2,3,7,5,5,5,2,3,4,4,5,5,1,4,3,6,6,4,4,4,4,4,5,5,7,4,6,2,7,5,6,1,1,5,1,4,1,2,Seraph Guardians,56,4,2,3,1,6,5
female,TN,19,5000,5,4,2,3,3,2,1,5,4,4,3,3,5,5,1,6,4,3,4,4,6,2,3,5,2,2,3,4,4,5,3,3,6,1,1,1,1,1,2,2,Warrior Guild,23,1,3,4,2,5,6
female,PA,29,46000,5,7,5,4,3,3,2,3,2,7,4,3,3,3,1,7,4,3,1,3,3,4,4,4,4,1,3,3,2,6,2,1,1,1,1,4,4,3,5,1,Evercrest,35,4,1,6,5,2,3
female,NC,25,44000,4,2,5,3,5,6,5,4,5,1,5,5,7,5,5,2,3,5,4,5,4,5,5,5,5,4,5,7,5,3,4,5,5,4,4,6,5,2,5,4,Seraph Guardians,50,3,2,1,4,6,5
male,NY,24,54000,2,1,4,3,5,5,3,5,6,1,5,4,7,5,3,1,4,4,7,1,5,2,5,5,5,7,4,7,6,3,6,4,3,5,5,6,6,2,4,3,Seraph Guardians,57,2,4,1,3,6,5
female,MI,32,74000,4,3,4,3,4,3,3,5,4,1,3,5,5,6,1,1,7,7,1,6,2,1,4,3,2,1,1,2,1,5,7,7,7,1,1,3,4,3,2,1,Evercrest,45,2,3,5,1,4,6
male,VA,30,52000,5,6,3,5,7,7,1,7,2,7,3,5,6,6,6,7,2,3,1,4,3,4,5,3,4,1,4,6,1,1,2,4,4,5,5,3,4,5,2,5,Seraph Guardians,72,6,1,3,5,4,2
male,TX,21,26000,6,3,4,7,6,5,5,6,2,3,4,5,5,5,3,5,3,4,6,4,2,4,2,4,3,5,1,3,4,1,4,4,7,1,2,4,4,3,4,2,Warrior Guild,39,4,1,2,5,6,3
male,CA,20,36000,4,4,1,3,2,4,1,2,6,2,4,2,3,4,6,2,4,4,5,7,7,1,4,7,1,5,3,2,3,4,7,6,5,5,6,3,1,3,2,6,Evercrest,26,1,5,4,2,6,3
female,MI,30,58000,6,4,2,5,2,3,6,1,3,3,6,3,2,3,3,4,5,5,6,5,3,6,3,4,7,7,7,4,7,4,6,5,4,3,2,7,1,3,4,5,Seraph Guardians,55,2,3,5,1,4,6
female,MA,32,77000,4,3,5,5,7,7,5,7,4,4,6,5,4,7,7,4,6,3,4,5,3,5,5,3,3,3,3,6,2,3,4,3,2,6,7,5,6,6,5,7,Evercrest,66,5,2,3,6,4,1
male,CO,26,101000,5,3,1,6,4,3,6,3,3,1,3,1,2,4,1,1,2,4,3,1,5,5,4,4,5,4,6,3,3,1,3,3,3,1,1,6,3,4,4,2,Seraph Guardians,69,1,3,4,2,5,6
male,UT,22,33000,7,4,7,7,7,6,7,6,6,3,3,6,5,7,7,4,5,3,3,4,4,7,6,7,7,4,7,5,4,4,3,4,4,6,6,7,5,3,5,5,Seraph Guardians,53,3,1,2,4,5,6
male,TX,19,16000,6,1,1,4,3,3,5,4,5,1,4,3,3,5,4,2,3,1,4,5,5,5,4,6,5,6,7,3,5,6,1,2,1,3,2,6,4,1,1,2,Seraph Guardians,25,2,3,5,1,4,6
female,NC,47,78000,2,7,3,3,7,6,4,7,1,6,6,3,5,5,4,5,5,2,5,6,2,2,5,2,5,4,3,4,3,3,1,3,2,4,5,5,4,4,2,2,Seraph Guardians,53,6,1,3,5,4,2
male,FL,21,26000,5,3,6,4,5,7,4,5,6,2,7,4,6,4,6,3,3,4,4,4,5,4,6,2,5,2,5,6,5,4,3,4,3,7,5,5,5,7,4,6,Warrior Guild,29,5,1,3,6,4,2
male,NC,18,8000,4,4,2,4,4,5,4,2,3,5,7,2,3,1,5,6,5,4,5,3,4,4,2,4,5,4,5,2,2,5,4,1,3,7,5,4,3,7,2,6,Evercrest,22,5,2,4,6,3,1
